person_id,person_name,winner,winner_bic,power_rss,power_r2,power_aic,power_bic,exp_rss,exp_r2,exp_aic,exp_bic,delta_aic,delta_aic_abs,delta_bic
2016LAZA03,Fernando Sáez Lázaro,exponential,exponential,171.89310776843922,0.7614915054339988,-141.11889739792957,-130.1404507506507,158.78385804756707,0.7796811085914854,-163.8862983243896,-152.90785167711073,-22.767400926460027,22.767400926460027,-22.767400926460027
2017GARR05,Luke Garrett,exponential,exponential,192.72928623602982,0.325782484164752,-123.87046938387547,-112.77918892435926,180.152596572856,0.3697790382315346,-143.98019233443082,-132.8889118749146,-20.10972295055535,20.10972295055535,-20.10972295055535
2011WELC01,Walker Welch,power_law,power_law,182.05937319322624,0.1914769463770749,-55.24175097578497,-44.850255560708135,182.67257440772062,0.18875372861721762,-54.448205886456506,-44.056710471379674,0.793545089328461,0.793545089328461,0.793545089328461
2010BENT01,Jan Bentlage,exponential,exponential,250.5386897387525,0.2433504153435343,2.514889275315762,13.126892076371371,243.62567162571526,0.2642283575464195,-4.592143507902687,6.019859293152923,-7.107032783218449,7.107032783218449,-7.107032783218449
2014PETE03,Tobias Peter,exponential,exponential,263.3936414778143,0.2656996440424464,3.380788456161779,14.131277382506878,245.5583864741227,0.3154215508596525,-15.26977576995008,-4.519286843604981,-18.650564226111857,18.650564226111857,-18.65056422611186
2015SANC18,Josete Sánchez,power_law,power_law,254.6612406638094,0.657703837001387,7.6558104282413995,18.255978894423958,289.1846948097835,0.6113000503206099,39.82004764431699,50.42021611049955,32.16423721607559,32.16423721607559,32.16423721607559
2010GARC02,Carlos Méndez García-Barroso,exponential,exponential,246.7108924741504,0.8008404156473818,17.42844036528095,27.807196907713426,148.70981301589433,0.8799526674627702,-101.53333764234262,-91.15458109991013,-118.96177800762356,118.96177800762356,-118.96177800762356
2014ZAKR01,Karol Zakrzewski,power_law,power_law,259.23886906091747,0.5192891374252216,20.781931320345464,31.27343599622507,276.615270726795,0.48706779244131426,36.612093872027664,47.10359854790727,15.8301625516822,15.8301625516822,15.830162551682196
2008BARA01,Bence Barát,exponential,exponential,253.080856358461,0.3296522680365689,27.088294341866423,37.4155474734318,226.9725374893443,0.3988066584204124,1.9370147855022726,12.26426791706765,-25.151279556364152,25.151279556364152,-25.151279556364152
2009LIUE01,Evan Liu,power_law,power_law,290.55671887981407,0.33210820611871605,30.398278894777782,41.13746837273645,312.31887517779467,0.28208435650815067,49.5381420675214,60.27733154548007,19.139863172743617,19.139863172743617,19.139863172743617
2013TOKA01,Piotr Tokarski,power_law,power_law,265.213811126892,0.10660834362538274,37.90540228019648,48.23265541176186,266.5239973415535,0.10219488782720176,39.04375890352834,49.37101203509372,1.138356623331859,1.138356623331859,1.138356623331859
2013ROGA02,Przemysław Rogalski,power_law,power_law,402.61244512936025,0.3323826491687095,58.431334749932915,69.97065107510609,404.1264341025717,0.329872132368469,59.7299973362844,71.26931366145757,1.2986625863514831,1.2986625863514831,1.2986625863514831
2016ROLZ01,Alwin Rölz,power_law,power_law,385.56665739146257,0.6230633258339418,104.11327012424944,114.87501609945019,536.8687982220745,0.47514771989244553,192.50085706699994,203.26260304220068,88.3875869427505,88.3875869427505,88.38758694275049
2010ROSE03,Dennis Rosero,power_law,power_law,448.9385137104206,0.41235294122809685,116.31097998053559,127.58768530216743,449.70477386646576,0.41134992965033657,116.85158275739727,128.12828807902912,0.5406027768616752,0.5406027768616752,0.5406027768616894
2011EDUA01,Eduard Esteban García Domínguez,power_law,power_law,880.9269860768836,0.4585906862769674,329.77995158021895,341.249089266668,881.6761875045404,0.45813023423360977,330.06728806252414,341.5364257489732,0.28733648230519293,0.28733648230519293,0.28733648230519293
