person_id,person_name,winner,winner_bic,power_rss,power_r2,power_aic,power_bic,exp_rss,exp_r2,exp_aic,exp_bic,delta_aic,delta_aic_abs,delta_bic
2010ROSE03,Dennis Rosero,power_law,power_law,340.287147042947,0.5266870419835424,-201.76226701737448,-189.05315824676336,381.4031397771685,0.46949789360715244,-143.47397172766384,-130.7648629570527,58.288295289710646,58.288295289710646,58.288295289710646
2015KUCA01,Carter Kucala,exponential,exponential,174.25319713217624,0.6973561084113593,-149.30745787746736,-138.2465318084479,140.25546058665424,0.7564035604104034,-213.3354140190704,-202.27448795005097,-64.02795614160306,64.02795614160306,-64.02795614160306
2008VARG01,Dániel Varga,power_law,power_law,171.39266479621725,0.4596896293950432,-148.04552280378047,-137.025553002266,189.2598046411216,0.4033639928065168,-119.18894738019054,-108.16897757867606,28.85657542358993,28.85657542358993,28.856575423589945
2008BARA01,Bence Barát,power_law,power_law,201.89650670136496,0.5584974599467498,-141.38104727925457,-130.07608429187326,222.94470019821915,0.5124697646476979,-109.6471156031917,-98.34215261581038,31.73393167606288,31.73393167606288,31.73393167606288
2014PETE03,Tobias Peter,power_law,power_law,236.85672218577224,0.2666115164622649,-115.54665221429971,-104.06865189215836,236.8569684378171,0.2666107539826862,-115.54629976747432,-104.06829944533297,0.00035244682538859706,0.00035244682538859706,0.00035244682538859706
2010BENT01,Jan Bentlage,power_law,power_law,268.2058512754587,0.8259067603264535,-106.4720366399082,-94.77234457916072,310.523408634345,0.7984383042109559,-52.997893697236584,-41.29820163648911,53.47414294267161,53.47414294267161,53.474142942671605
2010RONK01,Niko Ronkainen,power_law,power_law,344.56439509366146,0.6787269247931138,-104.07076749848454,-91.79683785225146,421.7933334242858,0.6067183862855346,-14.683133295796498,-2.4092036495634055,89.38763420268805,89.38763420268805,89.38763420268805
2009LIUE01,Evan Liu,exponential,exponential,252.79449489352044,0.6287770211335706,-57.238577711443185,-46.02886081900561,217.74685409556298,0.6802436862788639,-103.50413004371423,-92.29441315127664,-46.26555233227104,46.26555233227104,-46.265552332271035
2013BURL01,Łukasz Burliga,power_law,power_law,284.70476382925676,0.5015589901176742,-18.223293255922382,-7.032993907001661,309.9393163681556,0.4573801162476163,7.933236441215977,19.1235357901367,26.15652969713836,26.15652969713836,26.15652969713836
2011SZAT01,Wojciech Szatanowski,power_law,power_law,298.17477953766934,0.3780414439393971,1.1359463275904265,12.277144744118532,301.92268002820015,0.3702237513063591,4.920760264603123,16.061958681131227,3.7848139370126965,3.7848139370126965,3.7848139370126948
2013WALL03,Daniel Wallin,exponential,exponential,564.1407009953161,0.17231633219065456,108.498080319459,120.81914898268577,531.3314146233042,0.2204527464480961,81.59501924280691,93.91608790603368,-26.903061076652094,26.903061076652094,-26.903061076652094
2011EDUA01,Eduard Esteban García Domínguez,power_law,power_law,608.3507787256849,0.5656687986342508,128.00982746285533,140.46163576819416,642.0214978686843,0.541629635033834,153.27492059565208,165.7267289009909,25.26509313279675,25.26509313279675,25.26509313279675
2014JIME05,Diego Alejandro Casas Jimenez,power_law,power_law,634.6026068611507,0.42234610344337176,231.01406867559828,242.11539939577034,641.6832366118562,0.4159008835193623,234.33171107864231,245.43304179881437,3.317642403044033,3.317642403044033,3.317642403044033
2010GRAC02,Fabio Bini Graciose,exponential,exponential,757.7136414964352,0.6082507299109015,264.34512758052665,276.25891309989805,678.3781601373437,0.6492683587518066,220.98967598229592,232.90346150166732,-43.35545159823073,43.35545159823073,-43.35545159823073
2008AURO01,Sébastien Auroux,power_law,power_law,818.2901597042251,0.8334299986066953,303.39862941863015,314.96384518523746,1291.997201572839,0.7370028551438019,462.7965360641953,474.36175183080263,159.39790664556517,159.39790664556517,159.39790664556517
