person_id,person_name,n_competitions,n_results,first_year,last_year,best_sec_mean,average_sec_mean,span
2016MAHA07,Shubham Maharana,77,141,2016,2026,4.498936170212766,6.488085106382979,10
2021SOTO01,Juan Miguel Saboya Soto,70,141,2021,2026,3.4899290780141845,4.850354609929078,5
2012MARI04,José David Castiblanco Marin,80,140,2012,2026,6.2279285714285715,8.119642857142857,14
2012KASS01,Daniël Kassab,82,140,2012,2025,3.3145000000000002,4.574285714285714,13
2012DIAZ03,Kevin Vanegas Diaz,73,140,2013,2026,5.334785714285714,7.127642857142857,13
2015RUSS03,Will Russo,84,140,2015,2026,3.897214285714286,5.276928571428571,11
2018BOHA01,Alex Bohac,62,140,2018,2026,2.3511428571428574,3.3702857142857146,8
2018ZHUA10,Ethan Zhuang,86,140,2019,2026,4.210714285714285,5.934928571428571,7
2023CLAR02,Carson Clark (张卡森),61,140,2023,2026,2.500714285714286,3.4762142857142857,3
2016HAND04,Rasmus Händén,86,139,2016,2026,6.292086330935252,8.275395683453237,10
2016PFEI01,Jack Pfeifer,70,139,2016,2026,3.1181294964028776,4.351079136690647,10
2014RZEW01,Michał Rzewuski,75,139,2014,2021,4.7971942446043165,6.269712230215827,7
2023CELI06,Jacob Goossens Celis,66,139,2023,2026,3.6839568345323745,5.0978417266187055,3
2005KOZK01,Piotr Kózka,68,138,2005,2025,4.497898550724638,5.7490579710144925,20
2008PIAU01,Anton Piau,97,138,2009,2026,6.70340579710145,9.45731884057971,17
2014MEND02,Alexis Rodrigo Cazu Mendoza,58,138,2014,2026,3.662463768115942,4.806666666666667,12
2014LAFO02,Clara Lafourcade,95,138,2015,2026,5.966956521739131,8.173188405797102,11
2017NIEL03,Michael Nielsen,63,138,2017,2026,1.9240579710144927,2.5976086956521742,9
2017CHAM09,Cham J. Chambers,66,138,2018,2026,3.433478260869565,4.820652173913044,8
2012CAPP01,Gabriele Cappelletti,77,137,2012,2026,5.960437956204379,7.966642335766424,14
2016PERE44,Iván Brigidano Pérez,63,137,2016,2026,4.590583941605839,6.151678832116788,10
2016BRIN04,Chris Van Der Brink,62,137,2017,2026,2.8517518248175184,3.974744525547445,9
2018HANU02,Oskar Hanuszkiewicz,64,137,2018,2026,2.712189781021898,3.743795620437956,8
2006GALE01,Arnaud van Galen,102,136,2006,2018,10.063308823529411,12.549264705882353,12
2014AMAY01,Ramses Amaya,63,136,2014,2025,3.501323529411765,4.620955882352941,11
2014CZAP01,Maciej Czapiewski,56,136,2014,2021,3.543382352941176,4.627132352941176,7
