person_id,person_name,winner,winner_bic,power_rss,power_r2,power_aic,power_bic,exp_rss,exp_r2,exp_aic,exp_bic,delta_aic,delta_aic_abs,delta_bic
2016ROLZ01,Alwin Rölz,power_law,power_law,4851.070648586162,0.9406590736053958,846.2862376227671,857.4274360392952,7608.729044745681,0.9069259009179071,982.6655419192382,993.8067403357663,136.3793042964711,136.3793042964711,136.3793042964711
2012BEAH01,Ciarán Beahan,exponential,exponential,7591.46738702308,0.9286856999174091,854.4951564162101,865.035442654705,2376.7127577192164,0.9776731429942196,566.4911281411624,577.0314143796573,-288.00402827504763,288.00402827504763,-288.00402827504763
2009PROV01,Matteo Provasi,exponential,exponential,8506.730450436095,0.8379825072960398,857.1694610175656,867.58627303858,4811.085139112577,0.9083690313257377,721.5249289822823,731.9417410032967,-135.6445320352833,135.6445320352833,-135.6445320352833
2012ICKL01,Finn Ickler,power_law,power_law,4917.940372124402,0.9002172073593462,878.6098245652202,889.9053978735747,5781.116357910994,0.88270375581562,930.1943531748212,941.4899264831757,51.58452860960108,51.58452860960108,51.58452860960108
2014PETE03,Tobias Peter,exponential,exponential,6537.599002010112,0.8454811186790938,898.858280434722,909.815747975528,5235.778134591095,0.8762501982833872,835.5727482453292,846.5302157861352,-63.285532189392825,63.285532189392825,-63.285532189392825
2010BENT01,Jan Bentlage,power_law,power_law,6224.52375606886,0.9137956335399643,927.8761360898345,939.0468913956917,7187.252659182316,0.9004626560435341,971.8826259972313,983.0533813030885,44.006489907396826,44.006489907396826,44.006489907396826
2010WEYE01,Philipp Weyer,exponential,exponential,13119.48173939803,0.7923874599759749,978.2632217044732,988.7547263803527,6859.718810519644,0.8914466535803942,820.045855187416,830.5373598632956,-158.21736651705714,158.21736651705714,-158.21736651705714
2010RONK01,Niko Ronkainen,power_law,power_law,6499.796641419112,0.9255838173419356,1105.0300763041098,1116.9361989840659,10238.186831367952,0.8827829817820081,1282.6823519711354,1294.5884746510915,177.6522756670256,177.6522756670256,177.6522756670256
2010SCHM01,Leon Schmidtchen,exponential,exponential,17762.322472680353,0.7159931044627468,1139.5160243402129,1150.322380802852,11882.28779888169,0.8100106742892991,1030.5657242023774,1041.3720806650165,-108.95030013783548,108.95030013783548,-108.95030013783548
2003BRUC01,Ron van Bruchem,power_law,power_law,28642.379717477404,0.7356209448221493,1157.4608317330972,1167.915222533569,32087.026787047136,0.7038256629127241,1184.8298447041518,1195.2842355046237,27.369012971054644,27.369012971054644,27.369012971054644
2010WEYE02,Sebastian Weyer,exponential,exponential,10737.055077737134,0.8936970768218533,1167.5540750987554,1178.9964666942305,7370.995235103236,0.9270229746843395,1041.5444567801117,1052.9868483755868,-126.00961831864379,126.00961831864379,-126.00961831864379
2008AURO01,Sébastien Auroux,power_law,power_law,14636.854037602265,0.6525343021702529,1189.520108944746,1200.6908642506032,16039.327949528088,0.6192408379296851,1217.5194473356578,1228.690202641515,27.999338390911817,27.999338390911817,27.999338390911817
